Harapan_Lama_Sekolah,Pengeluaran_Perkapita,Rerata_Lama_Sekolah,Usia_Harapan_Hidup,IPM
11.71,10,7.11,72.58,Normal
12.12,11,8.1,71.18,High
12.1,11,7.78,72.33,High
13.1,11,9.3,73.81,High
11.88,8,8.2,72.52,Normal
12.08,9,7.85,71.6,Normal
13.42,11,10.53,73.82,High
13.58,10,9.81,72.58,High
14.21,16,10.99,74.46,Very-High
13.13,11,10.12,72.44,High
14.1,15,11.31,75.19,Very-High
13.93,15,11.46,74.62,Very-High
13.81,12,11.08,74.21,High
13.46,10,9.52,72.34,High
13.24,10,8.77,71.19,High
12.77,11,7.75,74.47,High
12.63,10,7.09,73.9,High
13.03,11,7.63,73.8,High
12,10,7.25,73.21,Normal
11.63,9,6.75,74.28,Normal
13.35,9,7.55,73.55,High
13.51,10,8.21,74.87,High
11.76,10,6.82,71.94,Normal
12.55,9,7.79,73.88,High
12.57,13,7.85,76.03,High
13.39,12,8.81,76.86,High
13.84,11,9.35,77.73,High
12.5,9,7.34,76.28,High
13.69,11,8.57,77.55,High
12.84,12,7.66,75.79,High
12.44,10,7.11,74.84,High
12.35,9,6.99,74.51,Normal
12.12,10,7.3,74.61,High
12.94,10,7.48,76.27,High
13.24,11,8.76,76.68,High
12.76,10,7.79,75.91,High
13.32,10,7.86,75.46,High
12.98,12,8.03,75.79,High
12.32,9,7.25,75.64,Normal
12.96,11,7.46,74.48,High
12.13,9,6.88,74.74,Normal
12.42,10,7.17,73.74,High
11.96,8,6.45,73.53,Normal
12.89,9,6.99,71.72,Normal
12.05,10,6.22,69.54,Normal
14.15,12,10.62,76.93,High
14.88,14,10.9,77.32,Very-High
15.42,15,10.66,77.55,Very-High
15.53,15,10.78,77.51,Very-High
12.85,12,9.18,74.44,High
13.07,13,8.73,74.54,High
15.64,14,9.64,75.04,Very-High
14.27,10,9.02,75.27,High
15.38,15,9.57,73.89,Very-High
12.98,9,7.3,74.19,High
16.74,16,10.92,74.92,Very-High
17.6,18,11.72,74.76,Very-High
13.36,11,7.88,71.38,High
12.65,8,7.61,72.07,Normal
13.74,9,7.55,72.85,High
12.47,9,7.56,73.86,High
13.32,10,8.34,74.16,High
12.63,10,7.5,73.61,High
13.44,11,8.08,72.65,High
13.24,10,7.43,72.61,High
11.88,9,6.67,70.21,Normal
13.43,9,6.49,69.28,Normal
13.1,12,7.42,70.72,High
13.29,10,5.94,66.89,Normal
13.16,9,6.62,69.24,Normal
12.36,10,6.12,67.36,Normal
12.58,10,7.41,70.25,Normal
14.94,14,10.72,74.06,Very-High
12.95,12,8.64,72.59,High
13.57,11,8.55,72.49,High
12.87,12,7.78,71.6,High
13.17,11,7.82,71.5,High
14.04,11,8.36,72.65,High
12.83,11,7.26,72.41,High
12.68,10,7.38,71.72,Normal
12.22,10,7.18,71.56,Normal
13.77,11,8.04,72.49,High
13.77,13,9.56,72.67,High
11.73,8,5.96,70.22,Normal
12.38,8,4.86,68.07,Normal
13.65,8,6.7,67.67,Normal
13.33,9,5.92,71.56,Normal
15.27,12,10.15,74.04,High
14.33,13,10.35,73.86,High
15.75,16,10.41,73.36,Very-High
13.6,12,8.95,70.35,High
13.63,13,9.33,71.6,High
14.01,13,10.47,73.39,High
14.41,16,11.37,72.83,Very-High
14.81,17,10.5,74.18,Very-High
14.16,12,9.31,72.65,High
13.02,12,8.93,70.02,High
13.49,8,7.11,64.79,Normal
11.98,8,6.41,67.33,Normal
12.84,12,8.61,69.93,High
12.58,10,7.51,64.76,Normal
13.87,14,10.83,71.6,High
13.18,13,10.08,66.69,High
12.79,13,8.89,68.12,High
14.66,15,11.82,72.47,Very-High
13.4,13,9.06,72.24,High
12.92,11,8.35,72.46,High
13.01,14,9.14,73.75,High
13.99,17,10.62,75.18,Very-High
13.97,14,9.29,73.78,High
13,11,8.14,71.41,High
12.35,11,7.18,70.62,Normal
12.42,10,6.33,70.56,Normal
13.08,13,7.25,71.95,High
14.09,19,11.48,74.93,Very-High
13.9,10,7.38,66.69,Normal
13.95,11,6.42,67.19,Normal
13.85,9,6.29,66.38,Normal
13.9,9,6.71,66.16,Normal
13.07,9,8.15,67.73,Normal
13.53,8,8.72,66.99,Normal
13.39,8,7.91,66.5,Normal
13.64,11,8.72,68.31,High
12.76,9,6.04,67.36,Normal
15.64,14,9.54,71.88,High
15.04,11,10.65,70.5,High
13.2,7,7.69,67.15,Normal
13.12,7,6.84,67.12,Normal
12.83,9,7.32,65.16,Normal
13.86,7,7.39,64.91,Normal
12.58,6,6.74,66.46,Normal
13.32,6,7.96,67.09,Normal
12.28,7,7.36,64.89,Normal
12.24,6,8.42,61.64,Normal
12.43,7,8.23,67.2,Normal
12.92,7,7.72,65.31,Normal
13.43,8,6.95,67.45,Normal
13.79,9,8.03,65.43,Normal
12.71,8,8.53,68.12,Normal
13.69,7,7.61,67.11,Normal
13.19,6,7.71,64.88,Normal
12.29,7,7.56,67.46,Normal
13.04,6,6.47,68.42,Normal
13.07,6,6.35,68.57,Normal
12.49,8,7.9,67.25,Normal
12.26,5,7.35,68.07,Normal
13.15,5,6.66,60.66,Low
12.79,5,7.1,65.01,Normal
16.41,13,11.6,69.73,High
12.65,8,7.45,70.76,Normal
12.63,9,6.72,69.08,Normal
12.1,9,6.8,73.84,Normal
12.43,7,7.12,73.04,Normal
12.65,7,7.04,71.18,Normal
11.59,8,7.39,71.42,Normal
11.81,9,7.46,71.11,Normal
12.04,8,7.08,71.84,Normal
12.08,7,7.53,72.53,Normal
11.89,7,6.85,72.05,Normal
11.17,8,6.91,72.98,Normal
11.84,7,6.02,68.48,Normal
13.87,8,7,70.69,Normal
15.01,14,10.43,73.12,High
12.91,11,7.9,72.18,High
12.74,11,8.64,69.79,High
12.73,13,8.53,70.68,High
12.85,11,8.15,69.9,High
12.93,11,7.6,68.78,Normal
12.66,11,8.95,67.19,High
12.5,9,8.85,71.3,High
12.13,8,8.09,71.56,Normal
12.49,11,8.43,69.39,High
12,9,7.96,69.26,Normal
12.81,10,8.68,65.87,Normal
12.42,10,8.19,68.1,Normal
11.9,10,9.18,70.46,High
12.84,11,9.23,68.31,High
11.76,10,7.61,69.53,Normal
14.96,14,11.53,73.24,Very-High
12.81,12,8.34,68.83,High
12.31,11,7.89,69.59,Normal
11.95,11,7.46,69.32,Normal
12.73,12,7.52,67.41,Normal
12.4,9,7.55,66.27,Normal
11.95,11,7.77,70.57,High
12.38,12,7.76,66.12,Normal
12.21,12,8.01,66.2,Normal
12.92,9,7.75,64.1,Normal
12.89,11,9.11,70.57,High
12.48,11,7.97,70.45,High
12.47,11,7.69,67.85,Normal
13.94,14,10.2,71.29,High
14.82,13,10.96,72.1,High
13.81,12,9.84,74.61,High
13.25,10,8.79,72.88,High
13.02,10,8.7,73.1,High
13.6,11,9.23,72.64,High
12.9,10,9.43,73.46,High
13.33,12,9.53,72.32,High
12.57,11,8.36,71.68,High
12.61,7,8.18,72.33,Normal
14.22,14,10.91,74.76,Very-High
15.09,14,10.49,74.54,Very-High
13.17,16,10.8,74.55,Very-High
12.94,9,9.11,72.65,High
13.31,9,9.4,71.49,High
13.01,9,9.19,72.74,High
12.22,7,8.8,71.49,Normal
12.65,7,8.17,71.4,Normal
14.03,11,9.98,74.04,High
12.94,10,9.62,71.76,High
11.53,10,8.03,69.45,Normal
14.15,12,9.73,71.16,High
12.47,11,8.34,70.18,High
12.59,8,9.72,70.24,Normal
12.83,11,9.09,70.01,High
12.92,11,10,71.4,High
12.17,9,8.41,67.73,Normal
11.86,8,9.03,70.87,Normal
12.43,10,9.11,70.21,High
12.3,8,8.15,64.49,Normal
11.86,9,7.93,67.94,Normal
14.16,13,11.42,71.9,High
12.62,12,9.89,71.1,High
14.21,11,10.74,72.06,High
12.88,10,10.31,70.6,High
13.23,9,8.89,68.83,Normal
13.07,7,8.44,66.59,Normal
13.25,9,8.53,70.88,High
13.35,11,9.34,69.23,High
13.71,8,9.5,71.19,High
12.51,8,7.98,67.5,Normal
12.89,7,8.76,66.18,Normal
13.1,7,9.08,69.05,Normal
12.48,9,7.74,64.35,Normal
12.29,7,8.4,65.9,Normal
12.88,8,8.82,70.09,Normal
12.96,7,8.63,65.67,Normal
12.25,8,8.72,69.71,Normal
16.28,14,11.72,71.09,Very-High
13.52,11,8.46,70.66,High
12.66,9,8.08,68.52,Normal
13.41,10,7.82,68.1,Normal
12.05,11,6.77,70.6,Normal
12.1,9,6.6,66.49,Normal
12.42,10,7.49,67.3,Normal
13.65,9,8.2,70.45,High
13.06,9,7.78,67.38,Normal
13.16,11,8.01,69.04,High
12.77,11,7.92,66.78,Normal
13.59,11,8.24,69.07,High
12.98,9,7.23,67.21,Normal
13.05,9,7.82,69.81,Normal
13.15,12,7.05,67.48,Normal
12.95,12,7.94,70.01,High
13.24,11,7.87,69.77,High
13.71,10,8.91,70.93,High
13.39,10,8.35,70.44,High
13.86,7,8.51,73.4,Normal
12.57,11,7.86,68.67,High
12.84,12,8.81,70.63,High
13.39,8,8.25,73.41,Normal
15.58,17,11.43,72.13,Very-High
14.51,13,10.65,71.31,High
15.09,13,10.94,70.92,High
13.68,9,9.13,71.27,High
13.76,7,7.92,68.39,Normal
13.8,8,8.46,70.41,Normal
13.01,10,9.21,70.32,High
12.83,12,8.99,71.21,High
12.37,9,8.11,70.87,Normal
11.85,8,8.04,69.09,Normal
13.51,9,8.16,70.48,Normal
12.15,10,8.22,70.36,Normal
12.92,7,8.93,70.93,Normal
13.08,9,9.3,69.53,High
12.69,7,7.84,72.82,Normal
12.32,6,9.42,68.43,Normal
12.51,7,7.3,70.35,Normal
13.12,7,7.31,67.69,Normal
13.24,7,7.54,67.69,Normal
16.89,14,12.51,73.83,Very-High
15.17,10,10.91,71.25,High
13.11,10,7.9,68.19,Normal
12.45,8,7,69.3,Normal
13.18,9,7.3,67.69,Normal
12.38,10,7.26,64.3,Normal
13.65,10,8.32,68.52,High
12.46,9,7.15,65.93,Normal
14.5,12,10.37,72.53,High
