Harapan_Lama_Sekolah,Pengeluaran_Perkapita,Rerata_Lama_Sekolah,Usia_Harapan_Hidup,IPM
13.42,9,6.48,69.15,Normal
12.8,12,7.16,70.65,High
13.28,10,5.93,66.74,Normal
13.15,9,6.46,69.13,Normal
12.35,10,6.11,67.2,Normal
12.41,10,7.4,70.23,Normal
14.93,14,10.5,74.04,Very-High
12.88,12,8.51,72.53,High
13.27,11,8.54,72.4,High
12.86,12,7.64,71.54,High
13.16,11,7.81,71.38,High
14.03,11,8.24,72.59,High
12.7,11,7.06,72.3,High
12.39,10,7.33,71.56,Normal
12.21,10,6.95,71.43,Normal
13.48,11,7.92,72.4,High
13.73,13,9.3,72.66,High
11.6,8,5.95,70.18,Normal
12.37,8,4.85,68.03,Normal
13.64,8,6.69,67.58,Normal
13.2,8,5.71,71.41,Normal
15.26,12,9.93,74.02,High
14.32,13,10.11,73.75,High
15.51,16,10.18,73.27,Very-High
13.59,12,8.7,70.29,High
13.62,13,9.12,71.52,High
14,13,10.25,73.32,High
14.4,16,11.14,72.81,Very-High
14.8,17,10.49,74.18,Very-High
14.13,12,9.07,72.61,High
12.89,11,8.89,69.96,High
13.47,8,7.1,64.66,Normal
11.97,8,6.4,67.21,Normal
12.82,12,8.39,69.89,High
12.57,10,7.5,64.64,Normal
13.85,14,10.69,71.6,High
13.16,13,9.87,66.67,High
12.78,13,8.76,68,High
14.47,15,11.81,72.47,Very-High
13.33,13,8.95,72.13,High
12.65,11,8.23,72.35,High
13,14,8.88,73.65,High
13.98,17,10.39,75.1,Very-High
13.89,14,9.04,73.68,High
12.99,11,8.13,71.25,High
12.34,11,7.17,70.52,Normal
12.41,10,6.32,70.47,Normal
13.07,13,7.24,71.83,High
14,19,11.47,74.82,Very-High
13.7,10,7.31,66.51,Normal
13.71,11,6.41,66.94,Normal
13.67,9,6.28,66.21,Normal
13.69,9,6.7,65.97,Normal
13.06,9,7.92,67.54,Normal
13.32,8,8.44,66.82,Normal
13.29,8,7.78,66.33,Normal
13.62,11,8.66,68.07,High
12.72,9,5.91,67.17,Normal
15.59,14,9.46,71.76,High
15,11,10.49,70.38,High
13.18,7,7.63,67.01,Normal
13.11,7,6.6,67.08,Normal
12.82,9,7.12,65.13,Normal
13.85,7,7.38,64.63,Normal
12.57,6,6.73,66.42,Normal
13.31,6,7.81,66.96,Normal
12.27,7,7.35,64.61,Normal
12.23,6,8.41,61.48,Normal
12.42,7,8.22,67.07,Normal
12.91,7,7.71,65.2,Normal
13.16,8,6.94,67.24,Normal
13.78,9,7.81,65.29,Normal
12.7,8,8.52,68.04,Normal
13.41,7,7.37,67.03,Normal
13.18,6,7.59,64.6,Normal
12.28,7,7.3,67.38,Normal
12.96,6,6.25,68.38,Normal
13.06,6,6.34,68.53,Normal
12.48,8,7.89,67.13,Normal
11.99,5,7.08,68.04,Normal
13.14,5,6.65,60.64,Low
12.78,5,6.87,64.97,Normal
16.4,13,11.58,69.55,High
12.6,8,7.37,70.69,Normal
12.61,9,6.71,68.93,Normal
12.09,9,6.76,73.83,Normal
12.4,7,7.11,72.84,Normal
12.39,7,7.03,71.04,Normal
11.57,8,7.15,71.42,Normal
11.8,9,7.31,71.1,Normal
12.03,8,7.07,71.71,Normal
12.05,7,7.52,72.52,Normal
11.88,7,6.83,71.84,Normal
11.16,8,6.76,72.97,Normal
11.82,7,6.01,68.28,Normal
13.82,8,6.83,70.59,Normal
15,14,10.17,72.96,High
12.9,11,7.89,72.06,High
12.66,11,8.59,69.74,High
12.72,13,8.42,70.59,High
12.84,11,8.13,69.85,High
12.92,11,7.59,68.74,Normal
12.55,11,8.82,67.09,High
12.49,9,8.71,71.3,High
12.12,8,8.01,71.53,Normal
12.48,11,8.42,69.36,High
11.99,9,7.94,69.26,Normal
12.67,10,8.67,65.78,Normal
12.41,10,8.18,68.04,Normal
11.78,10,9.14,70.4,High
12.83,11,9.21,68.22,High
11.75,10,7.54,69.51,Normal
14.95,14,11.52,73.21,Very-High
12.68,12,8.29,68.66,High
12.01,11,7.88,69.45,Normal
11.93,11,7.43,69.21,Normal
12.44,12,7.35,67.21,Normal
12.39,9,7.34,66.09,Normal
11.94,11,7.76,70.4,High
12.17,12,7.75,65.97,Normal
12.2,12,8,66.01,Normal
12.91,9,7.53,63.83,Normal
12.72,11,9.1,70.44,High
12.37,11,7.96,70.34,High
12.46,11,7.55,67.72,Normal
13.93,14,9.95,71.13,High
14.81,13,10.95,71.99,High
13.72,11,9.77,74.33,High
13.1,10,8.55,72.62,High
12.9,9,8.47,72.86,High
13.59,10,9.22,72.34,High
12.89,10,9.19,73.16,High
13.32,12,9.52,72.06,High
12.56,11,8.28,71.41,High
12.51,7,7.97,72.1,Normal
14.14,14,10.68,74.49,Very-High
14.89,14,10.48,74.27,Very-High
13.03,16,10.79,74.28,Very-High
12.93,8,9,72.59,High
13.3,9,9.39,71.45,High
13,9,8.94,72.66,High
12.21,7,8.54,71.42,Normal
12.64,6,8,71.34,Normal
14.02,10,9.97,73.97,High
12.85,10,9.49,71.69,High
11.52,10,7.93,69.36,Normal
13.98,12,9.59,71.08,High
12.32,11,8.29,70.1,High
12.51,8,9.51,70.16,Normal
12.74,11,9.08,69.92,High
12.8,11,9.99,71.38,High
11.91,9,8.4,67.66,Normal
11.67,8,8.97,70.73,Normal
12.27,10,8.88,70.15,High
12.29,8,7.9,64.49,Normal
11.59,8,7.83,67.89,Normal
14.15,13,11.27,71.87,High
12.61,12,9.88,71.07,High
14.2,11,10.73,71.93,High
12.79,10,10.1,70.47,High
13.17,9,8.83,68.69,Normal
13.06,7,8.43,66.31,Normal
13.24,9,8.52,70.88,High
13.34,10,9.33,69.18,High
13.7,8,9.41,71.18,High
12.49,7,7.97,67.33,Normal
12.73,7,8.51,65.9,Normal
13.09,7,8.86,68.76,Normal
12.47,9,7.48,64.3,Normal
12.28,7,8.39,65.67,Normal
12.87,8,8.6,69.99,Normal
12.95,7,8.62,65.38,Normal
12.24,8,8.71,69.61,Normal
16.23,14,11.61,71.04,Very-High
13.45,11,8.38,70.57,High
12.65,8,7.88,68.46,Normal
13.17,10,7.67,67.92,Normal
12.04,11,6.72,70.54,Normal
11.98,9,6.59,66.39,Normal
12.41,10,7.29,67.18,Normal
13.64,9,8.19,70.43,High
13.05,9,7.75,67.3,Normal
13.04,10,7.73,69.02,Normal
12.76,11,7.66,66.66,Normal
13.58,10,8.23,69.02,High
12.88,8,7.15,67.07,Normal
12.9,9,7.81,69.65,Normal
13.14,12,6.81,67.35,Normal
12.94,12,7.84,69.83,High
13.23,11,7.86,69.61,High
13.7,10,8.9,70.91,High
13.33,10,8.24,70.34,High
13.8,7,8.26,73.3,Normal
12.43,11,7.79,68.51,Normal
12.83,12,8.8,70.53,High
13.38,8,7.96,73.39,Normal
15.57,16,11.21,72.09,Very-High
14.5,13,10.45,71.27,High
15.08,12,10.76,70.88,High
13.65,9,9.04,71.22,High
13.75,7,7.71,68.25,Normal
13.79,8,8.36,70.39,Normal
13,10,9.15,70.27,High
12.81,12,8.98,71.06,High
12.36,9,7.86,70.8,Normal
11.84,8,8.03,68.91,Normal
13.5,9,7.94,70.41,Normal
12.11,10,8.12,70.36,Normal
12.76,7,8.92,70.93,Normal
12.83,9,9.21,69.51,Normal
12.41,7,7.56,72.67,Normal
12.06,6,9.41,68.43,Normal
12.5,7,7.01,70.34,Normal
13,7,7.3,67.66,Normal
13.23,7,7.53,67.66,Normal
16.62,14,12.2,73.77,Very-High
15.16,10,10.64,71.19,High
13.08,10,7.82,68.07,Normal
12.44,8,6.82,69.07,Normal
13.17,9,7.13,67.58,Normal
12.37,10,7.12,64.07,Normal
13.57,10,8.31,68.46,Normal
12.45,8,7.03,65.87,Normal
14.34,12,10.36,72.49,High
12.77,9,7.89,65.06,Normal
13.61,10,8.65,61.56,Normal
13.06,8,7.41,62.38,Normal
12.05,7,7.65,70.87,Normal
13.19,9,7.95,67.52,Normal
11.93,11,7.98,66.2,Normal
12.23,8,7.46,68.33,Normal
13.96,8,9.93,65.98,Normal
12.29,6,9.68,63.42,Normal
12.81,7,9.73,65.07,Normal
14.16,10,9.67,66.42,High
13.03,10,8.52,66.41,Normal
12.3,7,8.82,62.87,Normal
13.44,8,8.87,61.69,Normal
12.76,9,8.43,59.41,Normal
12.27,6,8.35,62.38,Normal
12.69,7,7.94,66.27,Normal
16.03,14,11.92,70.52,Very-High
13.97,7,10.52,65.47,Normal
13.67,8,9.04,68.33,Normal
13.19,7,8.35,66.25,Normal
12.99,7,9,63.91,Normal
12.74,6,8.95,63.3,Normal
12.78,7,7.93,65.86,Normal
13.6,7,8.51,69.56,Normal
12.75,7,8.26,68.88,Normal
12.77,6,7.39,67.18,Normal
12.59,6,7.66,62.1,Normal
15.74,13,11.71,70.97,High
14.31,8,9.73,69.34,High
12.91,8,7.6,66.02,Normal
14.37,7,8.84,68.47,Normal
12.13,8,8.41,64.81,Normal
11.48,8,6.98,60.1,Normal
12.31,9,8.08,60.83,Normal
13.65,12,8.25,68.68,High
13.16,6,7.36,66.25,Normal
13.71,7,8.17,66.1,Normal
12.03,8,7.91,64.74,Normal
11.91,4,5.24,60.13,Low
13.21,5,6.85,65.19,Low
12.35,5,6.63,67.58,Low
11.72,5,5.12,67.24,Low
14.38,13,11.14,70.7,High
11.08,6,6.69,65.79,Normal
13.88,10,8.72,67,High
12.27,7,5.51,59.64,Low
14.2,9,10.04,67.05,High
11.92,8,10,68.06,Normal
12.73,7,9.46,69.12,Normal
13.96,9,10.33,68.25,High
10.49,6,4.57,66.44,Low
7.24,5,3.62,65.15,Low
12.4,11,10.17,72.32,High
11.07,7,8.78,59.97,Normal
10.55,6,6.31,65.11,Low
9.02,5,4.94,58.05,Low
7.61,4,4.26,65.93,Low
6.25,5,2.81,64.44,Low
8.6,4,3.64,65.71,Low
12.05,6,8.82,66.36,Normal
12.42,8,8.01,66.69,Normal
12.79,6,9.2,66.33,Normal
12.74,5,8.81,65.94,Normal
11.79,4,5.66,57.77,Low
3.61,3,1.13,55.27,Low
8.62,4,3.2,66.06,Low
8.93,4,3.15,63.59,Low
9.11,4,2.79,65.42,Low
5.39,5,2.15,65.74,Low
10.58,5,4.93,65.73,Low
7.65,5,2.84,65.6,Low
9.81,4,3.01,65.24,Low
15.01,14,11.56,70.45,High
12.98,11,8.48,71.47,High
14.3,9,9.18,69.87,High
13.51,7,9.08,65.22,Normal
14.3,8,8.52,67.36,Normal
14.41,8,8.59,64.27,Normal
13.99,8,9.65,68.04,Normal
13.02,8,7.86,68.67,Normal
14.26,10,9.69,68.82,High
14.59,9,9.09,67.93,High
14.71,9,10.31,69.77,High
14.45,9,8.82,66.89,High
14.82,8,9.27,71.16,High
14.69,8,8.46,68.79,Normal
13.57,8,8.35,64.91,Normal
13.73,8,7.91,65.38,Normal
13.58,8,8.89,69.52,Normal
14.12,8,8.5,69.14,Normal
13.97,9,8.66,67.11,Normal
13.45,11,9.78,69.19,High
14.54,10,9.04,70.06,High
17.39,16,12.64,71.36,Very-High
13.81,11,11.13,70.45,High
15.34,12,11.1,69.37,High
15.19,11,10.9,71.52,High
14.21,7,7.58,63.94,Normal
13.15,10,9.45,68.95,High
12.39,7,5.15,69.68,Normal
13.17,9,8.36,62.51,Normal
13.12,11,8.97,64.82,Normal
12.79,10,8.48,67.08,Normal
13.68,11,9.71,68.46,High
13.28,12,10.36,69.93,High
12.67,11,9.23,69.86,High
12.59,10,8.49,68.11,Normal
12.77,11,9.36,71.07,High
13.09,10,9.34,68.79,High
12.75,12,9.62,71.27,High
13.34,12,10.08,71.61,High
12.81,11,8.64,68.59,High
12.22,7,5.53,68.58,Normal
13.27,7,9.53,69.06,Normal
13.85,8,8.73,65.59,Normal
13.46,8,9.15,71.16,High
12.59,11,8.53,68.46,High
12.62,10,8.02,66.75,Normal
12.47,10,9.1,67.06,Normal
13.02,9,8.69,66.98,Normal
12.99,11,8.74,68.64,High
12.82,11,8.36,69.37,High
12.78,6,6.25,69.29,Normal
12.71,6,6.14,68.82,Normal
13.15,11,10.18,68.77,High
12.49,11,9.26,63.02,Normal
14.21,12,11.15,73.33,High
12.71,12,10.28,70.76,High
14.73,15,11.38,72.98,Very-High
13.61,11,10.77,72.25,High
14.53,11,10.7,69.15,High
13.73,8,8.58,71.02,Normal
14.01,10,8.92,69.31,High
12.76,6,7.08,64.68,Normal
13.31,9,8.25,70.73,High
13.03,10,7.85,68.34,Normal
12.36,10,8.1,66.02,Normal
14.32,10,8.45,69.73,High
13.62,11,7.86,68.58,High
13.86,9,8.85,72.17,High
13.28,9,7.98,69.7,Normal
12.79,8,7.86,67.18,Normal
12.7,10,8.16,67.58,Normal
12.42,11,8.46,71.1,High
13.4,9,8.06,67.67,Normal
16.51,14,11.34,73.57,Very-High
14.31,12,11.02,73.45,High
13.16,10,9.97,69.87,High
15.05,11,11.45,72.77,High
14.96,13,11.32,74.22,Very-High
14.25,13,10.72,73.61,High
14.53,12,10.37,70.15,High
13.14,11,9.03,71.48,High
13.32,10,8.58,68.44,High
12.35,10,8.17,70.2,High
11.9,10,7.22,67.66,Normal
12.17,12,8.49,71.03,High
12.75,12,9.65,71.03,High
13.45,11,9.25,70.64,High
12.83,9,8.38,69.89,Normal
12.86,11,9.41,71.11,High
12.67,9,8.24,70.17,Normal
12.81,8,7.51,67.53,Normal
15.37,15,11.43,72.22,Very-High
13.1,12,9.85,70.82,High
12.93,10,8.45,71.06,High
13.86,10,8.21,69.82,High
11.98,10,7.68,71.18,Normal
12.26,11,7.76,69.09,Normal
12.91,10,7.85,70.44,Normal
12.82,8,8.33,71.18,Normal
12.01,9,6.35,66.08,Normal
12.61,9,7.7,68.03,Normal
12.39,10,7.57,69.91,Normal
12.61,11,8.15,67.61,Normal
14.9,12,10.91,72.57,High
14.78,10,10.08,72.01,High
12.39,10,8.18,69.65,High
12.59,10,8.69,68.01,Normal
11.41,11,7.03,68.41,Normal
11.96,11,7.78,68.63,Normal
12.33,10,8.45,65.76,Normal
12.07,9,7.51,67.86,Normal
11.99,10,7.61,68.54,Normal
11.74,10,7.19,68.76,Normal
11.74,8,7.83,66.76,Normal
12.22,11,7.54,68.87,Normal
12.29,10,7.85,65.21,Normal
12.05,9,7.39,64.81,Normal
11.9,8,6.75,68.07,Normal
11.56,10,6.5,65.43,Normal
14.4,15,10.52,70.54,High
12.9,13,9.72,70.09,High
12.84,9,9.14,66.41,Normal
13.36,13,9.81,69.04,High
13.59,10,8.73,69.21,High
13.6,9,9.02,67.79,High
13.68,10,8.26,68.37,High
12.86,10,7.86,68.04,Normal
12.98,8,8.25,66.5,Normal
13.27,8,7.91,67.56,Normal
12.72,10,7.99,66.51,Normal
12.56,11,7.9,63.12,Normal
12.89,9,7.93,67.78,Normal
13.02,9,7.22,68.12,Normal
16.01,14,11.78,70.04,Very-High
12.63,10,7.92,70.51,Normal
12.24,9,7.85,67.43,Normal
12.17,9,7.21,68.4,Normal
12.33,9,7.68,69.2,Normal
12.84,10,7.59,70.61,Normal
12.91,11,7.57,69.75,High
12.47,8,8.2,69.05,Normal
12.35,9,7.39,69.27,Normal
11.88,10,7.23,69.88,Normal
12.29,8,7.6,68.88,Normal
12.82,10,8.19,69.85,Normal
11.62,8,6.61,68.04,Normal
12.04,8,7.13,69.88,Normal
11.98,8,7.82,63.27,Normal
14.53,12,10.92,71.28,High
14.34,12,10.64,71.55,High
11.94,12,7.98,70.5,High
12.76,12,8.23,70.99,High
11.84,13,8.41,70.94,High
11.52,12,7.21,69.99,Normal
11.76,13,7.13,71.16,High
11.36,11,6.42,67.9,Normal
11.51,11,8.15,71.9,High
12.99,15,9.8,73.17,High
12.83,14,9.99,69.8,High
12.3,12,7.92,70.71,High
12.95,14,8.36,70.3,High
13.89,14,8.72,64.81,High
12.44,12,6.51,61.75,Normal
12.75,12,6.91,67.06,Normal
13.15,18,11.13,73.29,Very-High
14.09,15,9.99,72.02,High
12.97,18,11.06,72.79,Very-High
12.56,12,8.47,68.51,High
13.32,23,11.62,74.03,Very-High
13.82,17,11.65,74.37,Very-High
13.24,17,11.25,74.02,Very-High
12.79,20,10.4,73.54,Very-High
12.62,18,10.7,73.18,Very-High
12.48,11,8.37,72.85,High
12.47,10,8.29,71.01,High
12.22,8,7.02,70.73,Normal
11.98,8,6.97,69.91,Normal
12.68,10,8.79,73.4,High
11.82,8,7.51,71.22,Normal
12.52,8,7.17,69.21,Normal
13.79,9,7.69,71.57,High
12.1,9,7.38,73.35,Normal
12.24,10,6.71,71.82,Normal
12.21,9,7.09,69.97,Normal
12.96,10,8.27,72.29,High
12.24,10,5.99,71.37,Normal
11.69,11,6.85,72.13,Normal
12.1,11,7.92,70.8,High
12.08,11,7.65,71.98,High
13.08,11,8.84,73.56,High
11.86,8,8.18,72.18,Normal
12.06,9,7.67,71.12,Normal
13.4,11,10.32,73.41,High
13.46,11,9.58,72.26,High
14.19,17,10.74,74.14,Very-High
13.11,11,9.9,72.13,High
13.99,16,11.1,74.89,Very-High
13.91,15,11,74.31,Very-High
13.79,12,10.95,73.89,High
13.44,10,9.13,71.93,High
13.22,10,8.62,70.79,High
12.68,11,7.53,74.23,High
12.49,10,6.93,73.52,Normal
12.82,11,7.42,73.55,High
11.98,10,7.14,73.02,Normal
11.45,9,6.5,74.01,Normal
13.04,9,7.53,73.22,Normal
13.49,10,7.91,74.52,High
11.74,10,6.76,71.6,Normal
12.53,9,7.77,73.56,Normal
12.43,13,7.56,75.83,High
13.24,12,8.31,76.68,High
13.82,11,9.1,77.55,High
12.48,9,7.04,76.07,Normal
13.67,11,8.52,77.38,High
12.69,12,7.34,75.62,High
12.29,10,6.86,74.61,Normal
12.19,9,6.58,74.23,Normal
12.1,10,7.15,74.43,High
12.41,10,7.19,76.04,High
13.22,11,8.63,76.5,High
12.74,10,7.44,75.74,High
13.01,10,7.55,75.31,High
12.94,12,8.01,75.63,High
12.13,9,7.15,75.48,Normal
12.8,11,7.25,74.33,High
12,9,6.63,74.59,Normal
12.4,10,6.88,73.57,Normal
11.94,8,6.41,73.22,Normal
12.58,9,6.86,71.4,Normal
12.03,10,6.2,69.04,Normal
13.81,12,10.33,76.75,High
14.55,15,10.54,77.12,Very-High
15.34,15,10.41,77.22,Very-High
15.51,15,10.52,77.25,Very-High
12.83,12,8.71,74.28,High
13.04,13,8.31,74.34,High
15.58,14,9.38,74.92,High
14.25,10,8.66,75.2,High
15.15,15,9.54,73.77,Very-High
12.96,9,7.13,74.03,Normal
16.72,16,10.67,74.77,Very-High
17.28,19,11.45,74.56,Very-High
13.16,11,7.59,71.18,High
12.62,9,7.28,71.77,Normal
13.72,9,7.21,72.65,High
12.25,9,7.28,73.59,Normal
13.15,10,8.07,73.95,High
12.45,10,7.29,73.39,High
12.88,11,8.01,72.54,High
13.17,10,7.27,72.45,High
11.8,9,6.22,69.94,Normal
13.22,9,6.18,68.99,Normal
12.78,12,7.13,70.54,High
13.27,10,5.71,66.55,Normal
13.14,10,6.12,68.97,Normal
12.34,10,5.77,67,Normal
12.31,10,7.11,70.17,Normal
14.91,14,10.25,73.98,Very-High
12.61,12,8.49,72.43,High
13,11,8.53,72.27,High
12.85,12,7.63,71.44,High
13.14,11,7.8,71.22,High
14,11,7.96,72.49,High
12.69,11,6.98,72.16,High
12.36,10,7.09,71.36,Normal
12.2,10,6.81,71.26,Normal
13.47,11,7.89,72.27,High
13.72,13,9.29,72.61,High
11.59,8,5.66,70.11,Normal
12.08,8,4.55,67.96,Normal
13.63,8,6.4,67.45,Normal
13.19,9,5.46,71.22,Normal
14.97,12,9.92,73.96,High
14.31,13,10.1,73.6,High
15.41,16,10.17,73.15,Very-High
13.57,12,8.69,70.19,High
13.6,13,9.11,71.4,High
13.83,13,10.24,73.21,High
14.39,16,11.13,72.75,Very-High
14.79,17,10.47,74.13,Very-High
14.12,12,9.06,72.54,High
12.88,12,8.74,69.84,High
13.46,8,6.96,64.49,Normal
11.96,8,6.31,67.04,Normal
12.81,12,8.28,69.79,High
12.43,10,7.33,64.47,Normal
13.84,14,10.65,71.57,High
13.15,13,9.74,66.6,High
12.77,13,8.67,67.83,High
14.43,15,11.8,72.41,Very-High
13.27,14,8.84,71.99,High
12.63,11,8.22,72.21,High
12.99,14,8.87,73.53,High
13.97,17,10.38,74.99,Very-High
13.8,14,8.94,73.56,High
12.98,11,8.12,71.06,High
12.33,11,7.16,70.37,Normal
12.4,10,6.31,70.35,Normal
12.91,13,7.08,71.68,High
13.99,19,11.23,74.68,Very-High
13.48,10,7.27,66.28,Normal
13.48,11,6.37,66.64,Normal
13.5,10,6.27,65.99,Normal
13.51,9,6.69,65.74,Normal
12.97,9,7.91,67.31,Normal
13.31,9,8.4,66.6,Normal
13.28,8,7.77,66.11,Normal
13.61,11,8.53,67.8,High
12.71,9,5.84,66.92,Normal
15.58,15,9.45,71.59,High
14.99,11,10.38,70.2,High
13.15,7,7.55,66.85,Normal
12.89,7,6.53,66.98,Normal
12.81,9,6.86,64.94,Normal
13.84,7,7.37,64.39,Normal
12.56,6,6.72,66.32,Normal
13.3,6,7.51,66.86,Normal
12.26,7,7.11,64.35,Normal
12.11,6,8.09,61.29,Normal
12.4,7,8.21,66.97,Normal
12.9,7,7.7,65.1,Normal
12.87,8,6.71,67.07,Normal
13.77,9,7.8,65.17,Normal
12.69,8,8.37,67.96,Normal
13.14,7,7.27,66.77,Normal
13.17,6,7.29,64.34,Normal
11.96,7,7.19,67.12,Normal
12.66,6,5.96,68.32,Normal
13.05,6,6.33,68.43,Normal
12.47,8,7.83,67.03,Normal
11.69,5,6.87,67.98,Normal
13.13,5,6.33,60.23,Low
12.77,5,6.86,64.89,Normal
16.24,13,11.47,69.37,High
12.58,9,7.31,70.56,Normal
12.6,9,6.7,68.83,Normal
12.08,9,6.53,73.67,Normal
12.39,7,7.1,72.7,Normal
12.33,7,6.82,70.9,Normal
11.56,8,6.95,71.35,Normal
11.79,9,7.26,71.01,Normal
12.02,8,6.89,71.62,Normal
12.04,7,7.47,72.44,Normal
11.57,7,6.6,71.65,Normal
11.15,8,6.67,72.88,Normal
11.81,7,6,68.11,Normal
13.64,8,6.82,70.43,Normal
14.99,14,10.14,72.8,High
12.89,11,7.72,71.85,High
12.57,11,8.51,69.69,High
12.71,13,8.41,70.51,High
12.69,11,8.12,69.8,High
12.9,11,7.52,68.69,Normal
12.54,11,8.71,66.99,High
12.48,10,8.6,71.29,High
12.11,8,7.91,71.49,Normal
12.47,11,8.38,69.34,High
11.98,9,7.93,69.25,Normal
12.51,10,8.66,65.7,Normal
12.4,10,8.08,67.98,Normal
11.77,10,9.03,70.32,High
12.82,11,9.2,68.14,High
11.74,10,7.46,69.47,Normal
14.94,14,11.51,73.19,Very-High
12.52,12,8.2,68.49,High
11.96,11,7.64,69.31,Normal
11.92,11,7.42,69.1,Normal
12.28,12,7.34,66.97,Normal
12.38,9,7.33,65.88,Normal
11.86,12,7.75,70.23,High
12.1,12,7.74,65.82,Normal
12.19,12,7.99,65.82,Normal
12.88,9,7.37,63.58,Normal
12.59,11,8.78,70.33,High
12.36,12,7.71,70.08,High
12.37,11,7.27,67.59,Normal
13.92,14,9.94,70.98,High
14.8,13,10.94,71.87,High
13.69,12,9.7,74.22,High
13,10,8.54,72.52,High
12.89,10,8.34,72.79,High
13.58,11,9.1,72.21,High
12.78,11,9.18,73.03,High
13.31,12,9.25,71.94,High
12.55,11,8.16,71.3,High
12.5,8,7.89,71.9,Normal
14.13,14,10.67,74.41,Very-High
14.7,14,10.47,74.17,Very-High
12.9,16,10.73,74.18,Very-High
12.84,9,8.94,72.54,High
13.29,10,9.05,71.42,High
12.99,9,8.93,72.6,High
12.2,7,8.53,71.38,Normal
12.63,7,7.81,71.3,Normal
13.73,11,9.96,73.92,High
12.73,11,9.43,71.58,High
11.41,10,7.77,69.22,Normal
13.97,12,9.58,70.98,High
12.31,11,8.04,69.96,High
12.27,8,9.25,70.04,Normal
12.43,11,8.85,69.8,High
12.69,11,9.93,71.31,High
11.9,9,8.12,67.54,Normal
11.64,8,8.75,70.54,Normal
12.04,10,8.87,70.07,High
12.28,9,7.8,64.45,Normal
11.5,9,7.59,67.81,Normal
14.14,14,11.26,71.8,High
12.6,12,9.87,71,High
14.19,12,10.48,71.79,High
12.78,11,10.09,70.33,High
13.14,9,8.75,68.23,Normal
13.05,7,8.19,65.71,Normal
13.23,9,8.24,70.61,High
13.33,11,9.11,68.82,High
13.69,9,9.36,70.85,High
12.48,8,7.86,66.85,Normal
12.72,8,8.26,65.3,Normal
13.08,8,8.75,68.17,Normal
12.46,9,7.47,63.94,Normal
12.25,7,8.38,65.14,Normal
12.86,8,8.53,69.57,Normal
12.89,7,8.51,64.79,Normal
12.23,9,8.7,69.19,Normal
16.22,15,11.6,70.68,Very-High
13.36,11,8.26,70.43,High
12.48,9,7.63,68.34,Normal
12.91,10,7.43,67.69,Normal
12.03,11,6.48,70.42,Normal
11.97,9,6.48,66.24,Normal
12.25,10,7.18,67.01,Normal
13.48,9,7.97,70.37,Normal
12.87,9,7.48,67.17,Normal
13.02,10,7.46,68.98,Normal
12.51,11,7.6,66.49,Normal
13.57,10,7.96,68.91,High
12.8,8,6.98,66.88,Normal
12.73,9,7.74,69.43,Normal
13.13,12,6.8,67.17,Normal
12.93,12,7.83,69.59,High
13.22,11,7.85,69.39,High
13.69,10,8.89,70.83,High
13.32,10,8.15,70.19,High
13.58,7,8.02,73.15,Normal
12.42,11,7.78,68.31,Normal
12.82,12,8.54,70.38,High
13.37,8,7.92,73.35,Normal
15.56,16,11.2,72,Very-High
14.49,13,10.3,71.18,High
15.07,12,10.75,70.79,High
13.55,9,8.91,70.97,High
13.74,7,7.51,67.92,Normal
13.78,8,8.35,70.18,Normal
12.99,10,9.14,70.02,High
12.8,12,8.76,70.72,High
12.24,9,7.74,70.52,Normal
11.83,8,7.74,68.54,Normal
13.2,9,7.73,70.13,Normal
12.1,10,7.86,70.15,Normal
12.75,7,8.75,70.75,Normal
12.54,9,8.97,69.23,Normal
12.15,7,7.35,72.33,Normal
11.81,6,9.18,68.25,Normal
12.2,7,6.77,70.16,Normal
12.7,7,7.29,67.5,Normal
12.94,7,7.32,67.5,Normal
16.28,14,11.94,73.52,Very-High
14.81,10,10.37,70.95,High
13.06,10,7.69,67.93,Normal
12.43,8,6.54,68.83,Normal
12.94,9,7.11,67.45,Normal
12.36,10,7.1,63.83,Normal
13.45,10,8.07,68.38,Normal
12.44,8,6.74,65.79,Normal
14.32,12,10.35,72.42,High
12.62,9,7.73,64.82,Normal
13.6,10,8.52,61.3,Normal
13.05,8,7.4,62.18,Normal
11.74,7,7.37,70.75,Normal
13.18,9,7.69,67.23,Normal
11.66,11,7.92,65.91,Normal
11.92,8,7.24,68.06,Normal
13.94,8,9.81,65.82,Normal
12.28,6,9.55,63.34,Normal
12.63,7,9.5,64.95,Normal
14.15,10,9.64,66.34,High
13.02,10,8.46,66.32,Normal
12.29,7,8.71,62.73,Normal
13.42,8,8.86,61.48,Normal
12.75,9,8.22,59.16,Normal
12.26,6,8.14,62.16,Normal
12.68,7,7.7,66.13,Normal
16.02,14,11.91,70.35,Very-High
13.9,7,10.26,65.21,Normal
13.63,8,9,68.18,Normal
13.08,7,8.12,66.13,Normal
12.94,8,8.79,63.65,Normal
12.73,7,8.73,63.18,Normal
12.77,7,7.92,65.75,Normal
13.59,7,8.38,69.47,Normal
12.74,8,8.06,68.64,Normal
12.43,6,7.1,66.99,Normal
12.58,6,7.46,61.95,Normal
15.73,13,11.58,70.85,Very-High
14.2,8,9.64,69.22,High
12.72,8,7.44,65.9,Normal
14.09,7,8.64,68.41,Normal
11.98,8,8.28,64.64,Normal
11.34,8,6.87,59.93,Low
12.17,9,7.95,60.6,Normal
